09:22:47 HHC02292I Inst '47'   count      1372031 (22%) time        50376 (  0.036716) BC    0,0(0,0)               branch_on_condition
09:22:47 HHC02292I Inst '58'   count       667000 (10%) time        23242 (  0.034846) L     0,0(0,0)               load
09:22:47 HHC02292I Inst '91'   count       460849 ( 7%) time        10957 (  0.023776) TM    0(0),0                 test_under_mask
09:22:47 HHC02292I Inst '5E'   count       377500 ( 6%) time         8785 (  0.023272) AL    0,0(0,0)               add_logical
09:22:47 HHC02292I Inst '48'   count       325665 ( 5%) time         8518 (  0.026156) LH    0,0(0,0)               load_halfword
09:22:47 HHC02292I Inst '50'   count       262689 ( 4%) time        11239 (  0.042784) ST    0,0(0,0)               store
09:22:47 HHC02292I Inst '19'   count       219911 ( 3%) time         5405 (  0.024578) CR    0,0                    compare_register
09:22:47 HHC02292I Inst '12'   count       217989 ( 3%) time         5696 (  0.026130) LTR   0,0                    load_and_test_register
09:22:47 HHC02292I Inst '18'   count       217113 ( 3%) time         6688 (  0.030804) LR    0,0                    load_register
09:22:47 HHC02292I Inst '41'   count       216939 ( 3%) time         8497 (  0.039168) LA    0,0(0,0)               load_address
09:22:47 HHC02292I Inst '1F'   count       164588 ( 2%) time         5264 (  0.031983) SLR   0,0                    subtract_logical_register
09:22:47 HHC02292I Inst '06'   count       151051 ( 2%) time         3366 (  0.022284) BCTR  0,0                    branch_on_count_register
09:22:47 HHC02292I Inst '4C'   count       141021 ( 2%) time         2472 (  0.017529) MH    0,0(0,0)               multiply_halfword
09:22:47 HHC02292I Inst '54'   count       138240 ( 2%) time         3261 (  0.023589) N     0,0(0,0)               and
09:22:47 HHC02292I Inst '07'   count       111669 ( 1%) time         5678 (  0.050847) BCR   0,0                    branch_on_condition_register
09:22:47 HHC02292I Inst '59'   count        67416 ( 1%) time         1943 (  0.028821) C     0,0(0,0)               compare
09:22:47 HHC02292I Inst '05'   count        66987 ( 1%) time         3475 (  0.051876) BALR  0,0                    branch_and_link_register
