14:11:48 HHC02292I Inst 'DE'   count          580 ( 0%) time           13 (  0.022414) ED    0(1,0),0(0)            edit_x_edit_and_mark
14:11:48 HHC02292I Inst 'DC'   count          364 ( 0%) time           99 (  0.271978) TR    0(1,0),0(0)            translate
14:11:48 HHC02292I Inst 'F1'   count          258 ( 0%) time            1 (  0.003876) MVO   0(1,0),0(1,0)          move_with_offset
14:11:48 HHC02292I Inst 'F0'   count          168 ( 0%) time            2 (  0.011905) SRP   0(0,0),0(0),0          shift_and_round_decimal
14:11:48 HHC02292I Inst 'FB'   count          130 ( 0%) time            0 (  0.000000) SP    0(1,0),0(1,0)          subtract_decimal
14:11:48 HHC02292I Inst 'B206' count           47 ( 0%) time            0 (  0.000000) SCKC  0(0)                   set_clock_comparator
14:11:48 HHC02292I Inst '0F'   count           29 ( 0%) time            0 (  0.000000) CLCL  0,0                    compare_logical_character_long
14:11:48 HHC02292I Inst 'FD'   count           28 ( 0%) time           20 (  0.714286) DP    0(1,0),0(1,0)          divide_decimal
14:11:48 HHC02292I Inst 'B208' count           15 ( 0%) time            0 (  0.000000) SPT   0(0)                   set_cpu_timer
14:11:48 HHC02292I Inst 'FC'   count           14 ( 0%) time            1 (  0.071429) MP    0(1,0),0(1,0)          multiply_decimal
14:11:48 HHC02292I Inst 'E8'   count            8 ( 0%) time            0 (  0.000000) MVCIN 0(1,0),0(0)            move_inverse
14:11:48 HHC02292I Inst 'B202' count            1 ( 0%) time            0 (  0.000000) STIDP 0(0)                   store_cpu_id
