09:20:01 HHC02292I Inst '4E'   count          218 ( 0%) time            7 (  0.032110) CVD   0,0(0,0)               convert_to_decimal
09:20:01 HHC02292I Inst 'B206' count          214 ( 0%) time            0 (  0.000000) SCKC  0(0)                   set_clock_comparator
09:20:01 HHC02292I Inst '4F'   count          168 ( 0%) time           54 (  0.321429) CVB   0,0(0,0)               convert_to_binary
09:20:01 HHC02292I Inst 'F2'   count          130 ( 0%) time            7 (  0.053846) PACK  0(1,0),0(1,0)          pack
09:20:01 HHC02292I Inst 'DE'   count          105 ( 0%) time            3 (  0.028571) ED    0(1,0),0(0)            edit_x_edit_and_mark
09:20:01 HHC02292I Inst 'FB'   count           42 ( 0%) time            0 (  0.000000) SP    0(1,0),0(1,0)          subtract_decimal
09:20:01 HHC02292I Inst 'F0'   count           36 ( 0%) time            2 (  0.055556) SRP   0(0,0),0(0),0          shift_and_round_decimal
09:20:01 HHC02292I Inst '0F'   count           31 ( 0%) time            1 (  0.032258) CLCL  0,0                    compare_logical_character_long
09:20:01 HHC02292I Inst '93'   count           10 ( 0%) time            0 (  0.000000) TS    0(0)                   test_and_set
09:20:01 HHC02292I Inst 'B208' count            3 ( 0%) time            0 (  0.000000) SPT   0(0)                   set_cpu_timer
09:20:01 HHC02292I Inst 'B202' count            1 ( 0%) time            0 (  0.000000) STIDP 0(0)                   store_cpu_id
