09:19:10 HHC02292I Inst '47'   count     19034571 (21%) time       208325 (  0.010945) BC    0,0(0,0)               branch_on_condition
09:19:10 HHC02292I Inst '58'   count      7693109 ( 8%) time        79234 (  0.010299) L     0,0(0,0)               load
09:19:10 HHC02292I Inst '91'   count      7108834 ( 8%) time        69820 (  0.009822) TM    0(0),0                 test_under_mask
09:19:10 HHC02292I Inst '41'   count      5039200 ( 5%) time        50203 (  0.009962) LA    0,0(0,0)               load_address
09:19:10 HHC02292I Inst '50'   count      4414500 ( 5%) time        42681 (  0.009668) ST    0,0(0,0)               store
09:19:10 HHC02292I Inst '18'   count      3844142 ( 4%) time        41949 (  0.010912) LR    0,0                    load_register
09:19:10 HHC02292I Inst '95'   count      3582253 ( 4%) time        34211 (  0.009550) CLI   0(0),0                 compare_logical_immediate
09:19:10 HHC02292I Inst '07'   count      3545838 ( 4%) time        48772 (  0.013755) BCR   0,0                    branch_on_condition_register
09:19:10 HHC02292I Inst '87'   count      2120222 ( 2%) time        19273 (  0.009090) BXLE  0,0,0(0)               branch_on_index_low_or_equal
09:19:10 HHC02292I Inst '48'   count      1722584 ( 1%) time        15805 (  0.009175) LH    0,0(0,0)               load_halfword
09:19:10 HHC02292I Inst '1B'   count      1684230 ( 1%) time        16736 (  0.009937) SR    0,0                    subtract_register
09:19:10 HHC02292I Inst '94'   count      1545018 ( 1%) time        15972 (  0.010338) NI    0(0),0                 and_immediate
09:19:10 HHC02292I Inst '45'   count      1535222 ( 1%) time        18693 (  0.012176) BAL   0,0(0,0)               branch_and_link
09:19:10 HHC02292I Inst 'D5'   count      1504404 ( 1%) time        15706 (  0.010440) CLC   0(1,0),0(0)            compare_logical_character
09:19:10 HHC02292I Inst '98'   count      1474638 ( 1%) time        14019 (  0.009507) LM    0,0,0(0)               load_multiple
09:19:10 HHC02292I Inst 'D2'   count      1450612 ( 1%) time        15533 (  0.010708) MVC   0(1,0),0(0)            move_character
09:19:10 HHC02292I Inst '12'   count      1396894 ( 1%) time        13967 (  0.009999) LTR   0,0                    load_and_test_register
09:19:10 HHC02292I Inst '1A'   count      1221100 ( 1%) time        11284 (  0.009241) AR    0,0                    add_register
09:19:10 HHC02292I Inst '43'   count      1173536 ( 1%) time        11927 (  0.010163) IC    0,0(0,0)               insert_character
09:19:10 HHC02292I Inst '59'   count      1107374 ( 1%) time        10155 (  0.009170) C     0,0(0,0)               compare
09:19:10 HHC02292I Inst '44'   count      1030171 ( 1%) time        10179 (  0.009881) EX    0,0(0,0)               execute
09:19:10 HHC02292I Inst '05'   count       931150 ( 1%) time        16499 (  0.017719) BALR  0,0                    branch_and_link_register
09:19:10 HHC02292I Inst '92'   count       894464 ( 1%) time         9105 (  0.010179) MVI   0(0),0                 move_immediate
09:19:10 HHC02292I Inst '90'   count       866245 ( 0%) time         7287 (  0.008412) STM   0,0,0(0)               store_multiple
09:19:10 HHC02292I Inst '96'   count       861050 ( 0%) time         9304 (  0.010805) OI    0(0),0                 or_immediate
09:19:10 HHC02292I Inst '40'   count       755574 ( 0%) time         7964 (  0.010540) STH   0,0(0,0)               store_halfword
09:19:10 HHC02292I Inst '1F'   count       738722 ( 0%) time         7825 (  0.010593) SLR   0,0                    subtract_logical_register
09:19:10 HHC02292I Inst '06'   count       719665 ( 0%) time         6862 (  0.009535) BCTR  0,0                    branch_on_count_register
